City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
167,cabo san lucas,22.8909,-109.9124,30.17,61,0,5.14,MX,2024-09-16
168,betioky,-23.7167,44.3833,24.11,41,47,2.44,MG,2024-09-16
169,poronaysk,49.2167,143.1167,12.94,82,100,3.79,RU,2024-09-16
170,aldama,22.9167,-98.0667,31.51,63,63,3.96,MX,2024-09-16
171,cidreira,-30.1811,-50.2056,17.2,76,0,2.78,BR,2024-09-16
172,avarua,-21.2078,-159.775,26.03,73,40,7.72,CK,2024-09-16
173,aykhal,66.0,111.5,1.72,96,100,8.6,RU,2024-09-16
174,izyum,49.2088,37.2485,19.39,35,4,6.47,UA,2024-09-16
175,kailua-kona,19.6406,-155.9956,30.71,77,75,4.63,US,2024-09-16
176,quellon,-43.1167,-73.6167,10.18,72,100,1.54,CL,2024-09-16
177,ixtlan del rio,21.0333,-104.3667,30.1,44,91,2.73,MX,2024-09-16
178,dukhan,25.4297,50.7858,31.39,52,0,2.97,QA,2024-09-16
179,bredasdorp,-34.5322,20.0403,8.96,86,0,1.05,ZA,2024-09-16
180,benguela,-12.5763,13.4055,22.02,88,99,1.35,AO,2024-09-16
181,tomatlan,19.9333,-105.25,30.84,71,79,3.66,MX,2024-09-16
182,hithadhoo,-0.6,73.0833,28.79,75,99,4.94,MV,2024-09-16
183,togur,58.3631,82.8265,2.5,79,29,1.58,RU,2024-09-16
184,kirensk,57.7853,108.1119,1.88,98,97,1.27,RU,2024-09-16
185,anna regina,7.2644,-58.5077,29.76,69,1,4.53,GY,2024-09-16
186,sanctuary point,-35.1114,150.629,6.62,85,14,2.28,AU,2024-09-16
187,kristiansund,63.1115,7.732,11.74,87,75,1.54,NO,2024-09-16
188,kosikha,53.3617,84.5822,1.49,95,16,2.91,RU,2024-09-16
189,lae,-6.7221,146.9847,22.18,92,98,2.48,PG,2024-09-16
190,bengkulu,-3.8004,102.2655,23.23,91,84,2.32,ID,2024-09-16
191,alesund,62.4723,6.1549,12.96,83,75,5.14,NO,2024-09-16
192,kuala belait,4.5833,114.1833,26.57,84,100,4.89,BN,2024-09-16
193,porto murtinho,-21.6989,-57.8825,31.2,22,0,4.0,BR,2024-09-16
194,margaret river,-33.95,115.0667,11.15,78,0,1.98,AU,2024-09-16
195,qusmuryn,52.4503,64.6311,8.83,58,0,4.64,KZ,2024-09-16
196,barra de santo antonio,-9.4047,-35.5072,24.62,76,42,3.41,BR,2024-09-16
197,vallenar,-28.5708,-70.7581,17.55,34,0,5.81,CL,2024-09-16
198,shanhaiguan,39.9988,119.7564,19.57,75,0,2.98,CN,2024-09-16
199,la passe,45.5549,-0.8967,16.23,59,17,4.85,FR,2024-09-16
200,uturoa,-16.7333,-151.4333,25.34,84,100,4.99,PF,2024-09-16
201,selfoss,63.9331,-20.9971,10.02,97,100,8.87,IS,2024-09-16
202,kharkhorin,47.1975,102.8238,8.44,28,0,4.28,MN,2024-09-16
203,haiku-pauwela,20.9219,-156.3051,29.03,70,75,10.8,US,2024-09-16
204,shingu,33.7333,135.9833,24.98,92,58,1.39,JP,2024-09-16
205,biala podlaska,52.0324,23.1165,18.53,42,78,5.08,PL,2024-09-16
206,kruisfontein,-34.0033,24.7314,10.14,83,0,0.93,ZA,2024-09-16
207,yuzhno-kurilsk,44.0306,145.8556,15.44,86,100,5.64,RU,2024-09-16
208,crane,31.3974,-102.3501,31.4,39,3,7.42,US,2024-09-16
209,letlhakeng,-24.0944,25.0298,25.46,24,73,5.01,BW,2024-09-16
210,santo antonio,-6.3106,-35.4789,27.19,48,0,7.73,BR,2024-09-16
211,carnarvon,-24.8667,113.6333,20.72,37,0,6.26,AU,2024-09-16
212,nihommatsu,37.5833,140.4333,18.95,76,42,1.43,JP,2024-09-16
213,puerto ayora,-0.7393,-90.3518,21.42,94,90,3.58,EC,2024-09-16
214,siwa oasis,29.2041,25.5195,29.66,31,0,2.84,EG,2024-09-16
215,kroya,-7.6331,109.2461,23.57,83,54,2.01,ID,2024-09-16
216,tazovsky,67.4667,78.7,6.04,93,66,3.91,RU,2024-09-16
217,n'dalatando,-9.2978,14.9116,21.7,72,63,3.12,AO,2024-09-16
218,santa elena de uairen,4.6167,-61.1333,26.27,59,71,3.75,VE,2024-09-16
219,pisco,-13.7,-76.2167,18.03,77,75,4.12,PE,2024-09-16
220,el haouaria,37.05,11.0144,23.01,63,80,8.57,TN,2024-09-16
221,westport,41.1415,-73.3579,24.65,64,0,3.6,US,2024-09-16
222,onokhoy,51.932,108.0747,4.49,82,11,1.44,RU,2024-09-16
223,paimpol,48.7784,-3.0438,16.99,84,97,6.12,FR,2024-09-16
224,ola,59.5833,151.2833,3.7,94,100,3.25,RU,2024-09-16
225,boca do acre,-8.7522,-67.3978,39.44,19,6,1.49,BR,2024-09-16
226,bandarbeyla,9.4942,50.8122,25.42,82,39,11.98,SO,2024-09-16
227,arawa,-6.2132,155.5367,24.66,91,17,0.72,PG,2024-09-16
228,mesquite,32.7668,-96.5992,34.18,48,40,3.6,US,2024-09-16
229,aconibe,1.2968,10.9369,20.85,98,100,1.39,GQ,2024-09-16
230,puerto maldonado,-12.6,-69.1833,30.22,48,0,3.09,PE,2024-09-16
231,bela,25.9333,81.9833,25.3,88,100,2.89,IN,2024-09-16
232,tobruk,32.0836,23.9764,25.24,56,0,2.37,LY,2024-09-16
233,susuman,62.7833,148.1667,-2.09,81,20,0.82,RU,2024-09-16
234,kenitra,34.261,-6.5802,23.42,88,0,4.26,MA,2024-09-16
235,sungai penuh,-2.0833,101.3833,17.09,98,88,0.89,ID,2024-09-16
236,chibougamau,49.9168,-74.3659,27.79,47,40,6.69,CA,2024-09-16
237,nanticoke,41.2054,-76.0049,28.09,44,100,0.89,US,2024-09-16
238,raja,8.4596,25.678,21.27,95,100,1.38,SS,2024-09-16
239,georgetown,5.4112,100.3354,25.96,93,40,2.57,MY,2024-09-16
240,amga,60.8953,131.9608,-2.43,91,1,1.04,RU,2024-09-16
241,weligama,5.9667,80.4167,29.39,87,99,6.34,LK,2024-09-16
242,mazagao,-0.115,-51.2894,33.3,46,57,3.64,BR,2024-09-16
243,makar'yev,57.8797,43.8069,14.14,79,56,1.21,RU,2024-09-16
244,namsos,64.4662,11.4957,12.95,71,75,3.09,NO,2024-09-16
245,afaahiti,-17.75,-149.2833,24.05,86,42,5.53,PF,2024-09-16
246,al bawiti,28.3492,28.8659,29.41,34,0,4.27,EG,2024-09-16
247,trebechovice pod orebem,50.201,15.9922,16.8,84,100,0.89,CZ,2024-09-16
248,robbah,33.2797,6.9098,28.8,31,3,3.07,DZ,2024-09-16
249,galliano,29.4422,-90.2992,30.0,66,40,4.12,US,2024-09-16
250,ylitornio,66.3089,23.6773,9.99,90,100,3.34,FI,2024-09-16
251,sao joao dos patos,-6.495,-43.7022,36.48,21,0,3.45,BR,2024-09-16
252,el tigre,8.8875,-64.2454,26.14,82,80,1.96,VE,2024-09-16
253,swakopmund,-22.6833,14.5333,11.93,95,30,4.1,NA,2024-09-16
254,santa ana,33.7456,-117.8678,24.12,56,40,6.69,US,2024-09-16
255,ornskoldsvik,63.2909,18.7153,12.53,87,20,1.03,SE,2024-09-16
256,port lincoln,-34.7333,135.8667,9.99,80,0,3.68,AU,2024-09-16
257,mooirivier,-29.2082,29.9946,12.62,94,100,1.92,ZA,2024-09-16
258,kuanda,56.3161,116.0806,0.58,83,4,1.04,RU,2024-09-16
259,sovetsk,55.0839,21.8785,16.78,58,7,3.79,RU,2024-09-16
260,verkhnevilyuysk,63.4453,120.3167,-0.8,91,39,3.38,RU,2024-09-16
261,conception bay south,47.4999,-52.9981,20.41,70,96,7.47,CA,2024-09-16
262,malango,-2.9627,119.9001,18.59,97,91,0.73,ID,2024-09-16
263,lisala,2.15,21.5167,22.33,85,32,0.88,CD,2024-09-16
264,ljungby,56.8332,13.9408,12.81,88,45,2.48,SE,2024-09-16
265,igarka,67.4667,86.5833,4.53,95,100,4.04,RU,2024-09-16
266,yishui,35.7847,118.6281,20.66,88,24,3.24,CN,2024-09-16
267,saint john,45.2727,-66.0677,21.57,68,0,6.17,CA,2024-09-16
268,illizi,26.4833,8.4667,35.23,21,57,5.38,DZ,2024-09-16
269,pimentel,-6.8367,-79.9342,21.16,64,0,8.75,PE,2024-09-16
270,chui,-33.6971,-53.4616,17.17,66,0,2.87,UY,2024-09-16
271,klyuchi,52.2667,79.1667,5.66,56,83,3.32,RU,2024-09-16
272,ar raqqah,35.95,39.0167,24.15,54,0,7.92,SY,2024-09-16
273,jayapura,-2.5333,140.7,26.66,94,98,2.38,ID,2024-09-16
274,bamboo flat,11.7,92.7167,25.05,88,75,3.6,IN,2024-09-16
275,metlili chaamba,32.2667,3.6333,30.52,33,75,2.57,DZ,2024-09-16
276,praia da vitoria,38.7333,-27.0667,23.2,83,75,6.19,PT,2024-09-16
277,saint-philippe,-21.3585,55.7679,20.86,77,42,6.41,RE,2024-09-16
278,mozarlandia,-14.7447,-50.5706,38.82,14,0,1.43,BR,2024-09-16
279,christchurch,-43.5333,172.6333,4.95,90,75,4.63,NZ,2024-09-16
280,watsa,3.0372,29.5355,18.45,96,56,0.75,CD,2024-09-16
281,aliaga,15.5167,120.8667,22.51,97,100,1.09,PH,2024-09-16
282,juan de ayolas,-27.4,-56.9,26.24,29,0,3.7,PY,2024-09-16
